Date,Day,Time,Customers
2024-05-10,Friday,10:00:00,14
2024-05-10,Friday,11:00:00,33
2024-05-10,Friday,12:00:00,47
2024-05-10,Friday,13:00:00,47
2024-05-10,Friday,14:00:00,44
2024-05-10,Friday,15:00:00,36
2024-05-10,Friday,16:00:00,35
2024-05-10,Friday,17:00:00,34
2024-05-10,Friday,18:00:00,37
2024-05-10,Friday,19:00:00,39
2024-05-10,Friday,20:00:00,25
2024-05-10,Friday,21:00:00,19
2024-05-09,Thursday,10:00:00,11
2024-05-09,Thursday,11:00:00,21
2024-05-09,Thursday,12:00:00,40
2024-05-09,Thursday,13:00:00,50
2024-05-09,Thursday,14:00:00,41
2024-05-09,Thursday,15:00:00,29
2024-05-09,Thursday,16:00:00,26
2024-05-09,Thursday,17:00:00,27
2024-05-09,Thursday,18:00:00,28
2024-05-09,Thursday,19:00:00,23
2024-05-09,Thursday,20:00:00,21
2024-05-09,Thursday,21:00:00,11
2024-05-08,Wednesday,10:00:00,18
2024-05-08,Wednesday,11:00:00,32
2024-05-08,Wednesday,12:00:00,46
2024-05-08,Wednesday,13:00:00,45
2024-05-08,Wednesday,14:00:00,38
2024-05-08,Wednesday,15:00:00,32
2024-05-08,Wednesday,16:00:00,36
2024-05-08,Wednesday,17:00:00,30
2024-05-08,Wednesday,18:00:00,26
2024-05-08,Wednesday,19:00:00,20
2024-05-08,Wednesday,20:00:00,15
2024-05-08,Wednesday,21:00:00,7
2024-05-07,Tuesday,10:00:00,43
2024-05-07,Tuesday,11:00:00,76
2024-05-07,Tuesday,12:00:00,101
2024-05-07,Tuesday,13:00:00,95
2024-05-07,Tuesday,14:00:00,75
2024-05-07,Tuesday,15:00:00,46
2024-05-07,Tuesday,16:00:00,29
2024-05-07,Tuesday,17:00:00,26
2024-05-07,Tuesday,18:00:00,30
2024-05-07,Tuesday,19:00:00,20
2024-05-07,Tuesday,20:00:00,14
2024-05-07,Tuesday,21:00:00,7
2024-05-06,Monday,10:00:00,9
2024-05-06,Monday,11:00:00,24
2024-05-06,Monday,12:00:00,44
2024-05-06,Monday,13:00:00,49
2024-05-06,Monday,14:00:00,49
2024-05-06,Monday,15:00:00,36
2024-05-06,Monday,16:00:00,24
2024-05-06,Monday,17:00:00,24
2024-05-06,Monday,18:00:00,23
2024-05-06,Monday,19:00:00,24
2024-05-06,Monday,20:00:00,18
2024-05-06,Monday,21:00:00,12
2024-05-05,Sunday,10:00:00,16
2024-05-05,Sunday,11:00:00,34
2024-05-05,Sunday,12:00:00,47
2024-05-05,Sunday,13:00:00,55
2024-05-05,Sunday,14:00:00,53
2024-05-05,Sunday,15:00:00,47
2024-05-05,Sunday,16:00:00,43
2024-05-05,Sunday,17:00:00,44
2024-05-05,Sunday,18:00:00,45
2024-05-05,Sunday,19:00:00,40
2024-05-05,Sunday,20:00:00,24
2024-05-05,Sunday,21:00:00,12
2024-05-04,Saturday,10:00:00,9
2024-05-04,Saturday,11:00:00,25
2024-05-04,Saturday,12:00:00,3
2024-05-04,Saturday,13:00:00,45
2024-05-04,Saturday,14:00:00,51
2024-05-04,Saturday,15:00:00,38
2024-05-04,Saturday,16:00:00,39
2024-05-04,Saturday,17:00:00,42
2024-05-04,Saturday,18:00:00,52
2024-05-04,Saturday,19:00:00,46
2024-05-04,Saturday,20:00:00,30
2024-05-04,Saturday,21:00:00,13
2024-05-03,Friday,10:00:00,14
2024-05-03,Friday,11:00:00,32
2024-05-03,Friday,12:00:00,50
2024-05-03,Friday,13:00:00,50
2024-05-03,Friday,14:00:00,42
2024-05-03,Friday,15:00:00,36
2024-05-03,Friday,16:00:00,34
2024-05-03,Friday,17:00:00,34
2024-05-03,Friday,18:00:00,34
2024-05-03,Friday,19:00:00,37
2024-05-03,Friday,20:00:00,28
2024-05-03,Friday,21:00:00,19
2024-05-02,Thursday,10:00:00,11
2024-05-02,Thursday,11:00:00,23
2024-05-02,Thursday,12:00:00,37
2024-05-02,Thursday,13:00:00,48
2024-05-02,Thursday,14:00:00,40
2024-05-02,Thursday,15:00:00,28
2024-05-02,Thursday,16:00:00,26
2024-05-02,Thursday,17:00:00,25
2024-05-02,Thursday,18:00:00,29
2024-05-02,Thursday,19:00:00,24
2024-05-02,Thursday,20:00:00,20
2024-05-02,Thursday,21:00:00,10
2024-05-01,Wednesday,10:00:00,18
2024-05-01,Wednesday,11:00:00,32
2024-05-01,Wednesday,12:00:00,43
2024-05-01,Wednesday,13:00:00,44
2024-05-01,Wednesday,14:00:00,38
2024-05-01,Wednesday,15:00:00,37
2024-05-01,Wednesday,16:00:00,32
2024-05-01,Wednesday,17:00:00,29
2024-05-01,Wednesday,18:00:00,27
2024-05-01,Wednesday,19:00:00,18
2024-05-01,Wednesday,20:00:00,14
2024-05-01,Wednesday,21:00:00,7
2024-04-30,Tuesday,10:00:00,43
2024-04-30,Tuesday,11:00:00,84
2024-04-30,Tuesday,12:00:00,98
2024-04-30,Tuesday,13:00:00,96
2024-04-30,Tuesday,14:00:00,78
2024-04-30,Tuesday,15:00:00,45
2024-04-30,Tuesday,16:00:00,27
2024-04-30,Tuesday,17:00:00,24
2024-04-30,Tuesday,18:00:00,27
2024-04-30,Tuesday,19:00:00,20
2024-04-30,Tuesday,20:00:00,14
2024-04-30,Tuesday,21:00:00,7
2024-04-29,Monday,10:00:00,10
2024-04-29,Monday,11:00:00,25
